atribut_ttl,atribut_ack,atribut_windows_value
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
64,222152,773
64,225048,773
64,227944,773
64,230840,773
64,233736,773
64,236632,773
64,239528,773
64,242424,773
64,245320,773
64,248216,773
64,251112,773
64,253892,773
64,256788,773
64,259684,773
64,262580,773
64,265476,773
64,268372,773
64,271268,773
64,274164,773
64,277060,773
64,279956,773
64,282852,773
64,285748,773
64,286256,773
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
64,289152,773
64,292048,773
64,294944,773
64,297840,773
64,300736,773
64,303632,773
64,306528,773
64,309424,773
64,312320,773
64,315216,773
64,318112,773
64,320934,773
64,323830,773
64,326726,773
64,329622,773
64,332518,773
64,335414,773
64,338310,773
64,341206,773
64,344035,773
64,344035,773
64,415,343
64,208,343
64,208,343
64,208,343
128,2094,260
128,1067,258
128,1067,258
128,1602,255
64,208,343
128,1078,258
128,1066,258
64,344242,773
64,415,343
64,413,343
64,621,343
64,414,343
64,414,343
64,344242,773
128,2628,258
64,344448,773
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
128,299,65392
128,299,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
128,1067,258
128,1602,255
128,1067,258
128,1066,258
128,1078,258
128,2628,258
64,622,343
64,416,343
64,414,343
64,415,343
64,415,343
64,344449,773
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,285,65392
128,285,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,299,65392
128,299,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,293,65392
128,293,65392
255,225,2144
255,0,2144
128,1,8192
255,1,2144
255,1,2144
128,289,65392
128,289,65392
